"売上№=masterid,dempyounum",売上日=uriagebi,得意先ｺｰﾄﾞ=customerid,得意先名,行№=num,品名=pro,単位=tani,数量=amount,単価=tanka,金額=price,備考=bik,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,214,フォーナス,式　,1,968,968,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,215,パレスデュオ・照（テラス）,式　,1,770,770,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,216,シャーメゾンハーヴェスト,式　,1,770,770,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,217,クレール松ヶ丘,式　,1,495,495,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,218,クレール,式　,1,770,770,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,219,アン・セリジェ　Ⅱ,式　,1,495,495,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,220,フレグランス二里ヶ浜,式　,1,770,770,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,221,アベニール,式　,1,770,770,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,222,ディアス赤坂,式　,1,770,770,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,223,カサ・フィオーレＦＧ,式　,1,770,770,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,224,シャーメゾン安上,式　,1,968,968,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,225,フローラ,式　,1,770,770,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,226,ワイズコート,式　,1,495,495,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,227,シャーメゾン西高松,式　,1,495,495,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,228,シャーメゾン木ノ本,式　,1,693,693,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,229,ブランシェＳ,式　,1,693,693,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,230,ディアスＡＫＩＨＯ,式　,1,693,693,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,231,シャンブルＭ,式　,1,968,968,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,232,シャーメゾン幸輝,式　,1,1166,1166,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,233,ボナール千且,式　,1,770,770,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,234,イマージュ浜の宮,式　,1,495,495,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,235,ヴィラ天神崎,式　,1,935,935,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,236,シャーメゾンフクイ,式　,1,495,495,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,237,アヴェンヌ太田,式　,1,1122,1122,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,238,メゾネット松島,式　,1,495,495,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,239,シャーメゾン今福,式　,1,495,495,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,240,イマージュ浜の宮Ⅱ,式　,1,693,693,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,241,シャーメゾン西浜Ａ,式　,1,693,693,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,242,和歌浦ガーデンテラス,式　,1,1320,1320,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,243,シャーメゾン彩都Ａ,式　,1,693,693,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,244,シャーメゾンロイヤルヒルズⅠ,式　,1,495,495,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,245,シャーメゾン下津野,式　,1,1166,1166,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,246,ＢＥＲＥＯ　Ｒｉａｎ,式　,1,3102,3102,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,247,メゾンドソレイユ,式　,1,245,245,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,248,シャーメゾンガーデンズ紀三井寺,式　,1,770,770,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,249,シャーメゾン幡川,式　,1,990,990,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,250,シャーメゾン元町奉行,式　,1,220,220,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,251,シャーメゾン松ヶ丘,式　,1,220,220,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,252,ロイヤルヒルズ三番丁,式　,1,1650,1650,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,253,シャーメゾン秋月の杜,式　,1,770,770,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,254,ブランシェ堀止,式　,1,495,495,                    ,
87440,2020/8/20,378,積水ハウス不動産関西株式会社                      ,255,　,　　,      ,         ,          ,                    ,
87441,2020/8/20,546,株式会社江川組                                    ,1,キングライン　湊倉庫,　　,      ,         ,          ,                    ,
87441,2020/8/20,546,株式会社江川組                                    ,2,HCA110M　出張修理費,　　,      ,         ,          ,                    ,
87441,2020/8/20,546,株式会社江川組                                    ,3,霜取作業費,式　,1,28000,28000,                    ,
87441,2020/8/20,546,株式会社江川組                                    ,4,出張費,式　,1,5000,5000,                    ,
87547,2020/8/20,630,株式会社山翔建設                                  ,1,㈱紀州ライフコーディネートサービス本社,　　,      ,         ,          ,                    ,
87547,2020/8/20,630,株式会社山翔建設                                  ,2,弱電盤改修工事,式　,1,70000,70000,                    ,
87547,2020/8/20,630,株式会社山翔建設                                  ,3,ペーパータオルホルダー取付け工事,式　,1,50000,50000,                    ,
87390,2020/8/19,45,株式会社アイワライフネット                        ,1,キューブN　A棟　305,　　,      ,         ,          ,8月19日,
87390,2020/8/19,45,株式会社アイワライフネット                        ,2,住警器(取付費込),台　,1,3000,3000,                    ,
87428,2020/8/19,292,中谷電気工事株式会社                              ,1,ＪＡかわかみマルい選果場,　　,      ,         ,          ,8月19日,
87428,2020/8/19,292,中谷電気工事株式会社                              ,2,総合盤取替及び感知器取替工事,式　,1,230000,230000,                    ,
87462,2020/8/19,751,岡野消防設備株式会社                              ,1,ラッキー１ＢＡＮ明石店,　　,      ,         ,          ,                    ,
87462,2020/8/19,751,岡野消防設備株式会社                              ,2,スプリネックス工事,式　,1,650000,650000,7/22～8/19          ,
87482,2020/8/19,816,有限会社プランニング                              ,1,エアコン取付工事,式　,1,130000,130000,8月19日,
87423,2020/8/18,48,有限会社レインボーシステムズ                      ,1,ﾜｰﾙﾄﾞﾌﾟﾗｻﾞ南海　103号室,　　,      ,         ,          ,                    ,
87423,2020/8/18,48,有限会社レインボーシステムズ                      ,2,44426,　　,      ,         ,          ,                    ,
87423,2020/8/18,48,有限会社レインボーシステムズ                      ,3,ｴｱｺﾝ取替工事,式　,1,320000,320000,                    ,
87409,2020/8/18,152,有限会社いわでん                                  ,1,ダイワパレス向之芝　感知器取替,式　,1,45000,45000,8月18日,
87396,2020/8/18,354,松本電気工事                                      ,1,消防設備保守点検,　　,      ,         ,          ,                    ,
87396,2020/8/18,354,松本電気工事                                      ,2,ごりょうの郷（防火対象物点検）,式　,1,35000,35000,8月18日,
87448,2020/8/17,15,泉州防災株式会社                                  ,1,りんくうプレミアムアウトレット,　　,      ,         ,          ,                    ,
87448,2020/8/17,15,泉州防災株式会社                                  ,2,1320区画　誘導灯増設工事,式　,1,100000,100000,8/3～17             ,
87451,2020/8/15,15,泉州防災株式会社                                  ,1,りんくうプレミアムアウトレット,　　,      ,         ,          ,                    ,
87451,2020/8/15,15,泉州防災株式会社                                  ,2,2950区画　スプリンクラーヘッド撤去工事,式　,1,40000,40000,8月15日,
87479,2020/8/15,728,平井電気                                          ,1,ドトールなんさん通り店,　　,      ,         ,          ,                    ,
87479,2020/8/15,728,平井電気                                          ,2,感知器取替工事(夜間),式　,1,100000,100000,7/3･8/7･8/15        ,
87439,2020/8/12,19,身体障害者授産施設小倉園                          ,1,ｴｱｺﾝ取替工事,　　,      ,         ,          ,                    ,
87439,2020/8/12,19,身体障害者授産施設小倉園                          ,2,25ｴｱｺﾝ取付（材工共）,台　,2,70000,140000,7/28.8/12           ,
87439,2020/8/12,19,身体障害者授産施設小倉園                          ,3,LAN配線工事,式　,1,112000,112000,7/28.8/1            ,
87374,2020/8/11,45,株式会社アイワライフネット                        ,1,マスターズ・エル延時16　515号室,　　,      ,         ,          ,8月11日,
87374,2020/8/11,45,株式会社アイワライフネット                        ,2,住警器(取付費込),台　,1,3000,3000,                    ,
87375,2020/8/11,45,株式会社アイワライフネット                        ,1,ハイツウイング　108号室,　　,      ,         ,          ,8月11日,
87375,2020/8/11,45,株式会社アイワライフネット                        ,2,住警器(取付費込),台　,1,3000,3000,                    ,
87369,2020/8/11,581,福林電気                                          ,1,差動式ｽﾎﾟｯﾄ型感知器２種,個　,1,1700,1700,                    ,
87369,2020/8/11,581,福林電気                                          ,2,送料,式　,1,1027,1027,                    ,
87436,2020/8/10,48,有限会社レインボーシステムズ                      ,1,ﾜｰﾙﾄﾞﾌﾟﾗｻﾞ南海　ﾔﾏﾄﾅﾃﾞｼｺ,　　,      ,         ,          ,                    ,
87436,2020/8/10,48,有限会社レインボーシステムズ                      ,2,44418,　　,      ,         ,          ,                    ,
87436,2020/8/10,48,有限会社レインボーシステムズ                      ,3,天井換気扇取替工事(材工共）,台　,1,35000,35000,                    ,
87570,2020/8/10,132,大橋建具店                                        ,1,機材配線及びＴＶ･照明器具取替工事,式　,1,20000,20000,6/24・7/20          ,
87570,2020/8/10,132,大橋建具店                                        ,2,材料費,式　,1,3000,3000,〃                  ,
87570,2020/8/10,132,大橋建具店                                        ,3,トイレのスイッチ取替工事,式　,1,10000,10000,8月10日,
87435,2020/8/7,60,有限会社梶本無線商会                              ,1,川上様邸,　　,      ,         ,          ,8月7日,
87435,2020/8/7,60,有限会社梶本無線商会                              ,2,ｱｰｽ工事,式　,1,30000,30000,                    ,
87433,2020/8/7,132,大橋建具店                                        ,1,家具組込用ｺﾝｾﾝﾄｾｯﾄ作製工事,　　,      ,         ,          ,8月7日,
87433,2020/8/7,132,大橋建具店                                        ,2,家具用ｺﾝｾﾝﾄ,個　,9,380,3420,                    ,
87433,2020/8/7,132,大橋建具店                                        ,3,ｽﾅｯﾌﾟｷｬｯﾌﾟ,個　,9,150,1350,                    ,
87433,2020/8/7,132,大橋建具店                                        ,4,電線ｹｰﾌﾞﾙ（1.25-2C）,式　,1,500,500,                    ,
87433,2020/8/7,132,大橋建具店                                        ,5,消耗品雑材料,式　,1,730,730,                    ,
87433,2020/8/7,132,大橋建具店                                        ,6,電工費,式　,1,5000,5000,                    ,
87433,2020/8/7,132,大橋建具店                                        ,7,諸経費,式　,1,1000,1000,                    ,
87443,2020/8/7,555,社会福祉法人　一会                                ,1,消防設備保守点検,　　,      ,         ,          ,                    ,
87443,2020/8/7,555,社会福祉法人　一会                                ,2,介護老人保健施設ローズ（機器点検）,式　,1,50000,50000,8月7日,
87443,2020/8/7,555,社会福祉法人　一会                                ,3,〃　リハビリ棟（機器点検）,式　,1,20000,20000,〃                  ,
87481,2020/8/7,705,株式会社　春台設備                                ,1,村上様邸　浄水器取付工事,　　,      ,         ,          ,                    ,
87481,2020/8/7,705,株式会社　春台設備                                ,2,パナソニック浄水器　TK-AS46-W,個　,1,45000,45000,8月7日,
87481,2020/8/7,705,株式会社　春台設備                                ,3,TOTO吐水口アダプター　THYB69,個　,1,180,180,                    ,
87481,2020/8/7,705,株式会社　春台設備                                ,4,取付費,式　,1,12000,12000,                    ,
87481,2020/8/7,705,株式会社　春台設備                                ,5,諸経費,式　,1,2820,2820,                    ,
87457,2020/8/7,751,岡野消防設備株式会社                              ,1,123藤田店,　　,      ,         ,          ,                    ,
87457,2020/8/7,751,岡野消防設備株式会社                              ,2,消火器格納箱取替工事,式　,1,20000,20000,8月7日,
87417,2020/8/7,1051,　　　谷田                                        ,1,会所　モルタル補修工事,式　,1,20000,20000,8月7日,
87450,2020/8/6,15,泉州防災株式会社                                  ,1,イオンモールりんくう泉南,　　,      ,         ,          ,                    ,
87450,2020/8/6,15,泉州防災株式会社                                  ,2,手動起動弁カバー,個　,5,1800,9000,8月6日,
87450,2020/8/6,15,泉州防災株式会社                                  ,3,送料,式　,1,1080,1080,〃                  ,
87437,2020/8/6,38,伸和電設株式会社                                  ,1,三菱電気㈱　6工場1階,　　,      ,         ,          ,                    ,
87437,2020/8/6,38,伸和電設株式会社                                  ,2,組合事務所自動火災報知設備工事,　　,      ,         ,          ,7/17～8/6           ,
87437,2020/8/6,38,伸和電設株式会社                                  ,3,差動式ｽﾎﾟｯﾄ型感知器2種,個　,2,1850,3700,                    ,
87437,2020/8/6,38,伸和電設株式会社                                  ,4,差動式ｽﾎﾟｯﾄ型感知器2種(既設品),個　,1,         ,          ,                    ,
87437,2020/8/6,38,伸和電設株式会社                                  ,5,非常用ｽﾋﾟｰｶｰ,台　,2,4000,8000,                    ,
87437,2020/8/6,38,伸和電設株式会社                                  ,6,非常用ｽﾋﾟｰｶｰ(既設品),台　,1,         ,          ,                    ,
87437,2020/8/6,38,伸和電設株式会社                                  ,7,工事費,式　,1,30000,30000,                    ,
87437,2020/8/6,38,伸和電設株式会社                                  ,8,消防手続立会試験費,式　,1,50000,50000,                    ,
87437,2020/8/6,38,伸和電設株式会社                                  ,9,試験調整費,式　,1,40000,40000,                    ,
87437,2020/8/6,38,伸和電設株式会社                                  ,10,消耗部品雑材費,式　,1,1000,1000,                    ,
87437,2020/8/6,38,伸和電設株式会社                                  ,11,諸経費,式　,1,6800,6800,                    ,
87371,2020/8/6,634,有限会社ファーストサービス                        ,1,スターバックス　堺東店,　　,      ,         ,          ,                    ,
87371,2020/8/6,634,有限会社ファーストサービス                        ,2,流し台排水修理,　　,      ,         ,          ,8/1・6              ,
87371,2020/8/6,634,有限会社ファーストサービス                        ,3,流し用排水栓,個　,1,1600,1600,                    ,
87371,2020/8/6,634,有限会社ファーストサービス                        ,4,流し用アダプター,個　,1,800,800,                    ,
87371,2020/8/6,634,有限会社ファーストサービス                        ,5,工事費（調査、交通諸経費含む）,式　,1,30000,30000,                    ,
87456,2020/8/6,751,岡野消防設備株式会社                              ,1,第1永楽荘,　　,      ,         ,          ,                    ,
87456,2020/8/6,751,岡野消防設備株式会社                              ,2,納品,　　,      ,         ,          ,8月6日,
87456,2020/8/6,751,岡野消防設備株式会社                              ,3,SH13　ボールタップ,個　,1,2800,2800,                    ,
87459,2020/8/6,751,岡野消防設備株式会社                              ,1,アスモ大和郡山,　　,      ,         ,          ,                    ,
87459,2020/8/6,751,岡野消防設備株式会社                              ,2,消防設備保守点検に伴う修理,式　,1,1260000,1260000,7/29～8/6           ,
87490,2020/8/6,751,岡野消防設備株式会社                              ,1,123交野店,　　,      ,         ,          ,                    ,
87490,2020/8/6,751,岡野消防設備株式会社                              ,2,応援(交通費含む),人工,1,20000,20000,8月6日,
87432,2020/8/6,763,株式会社ＭＡＲＵＥＩ                              ,1,石田様邸　真空引き及びｶﾞｽﾁｬｰｼﾞ,式　,1,20000,20000,8月6日,
87444,2020/8/5,15,泉州防災株式会社                                  ,1,ライオンズマンション三木町,　　,      ,         ,          ,                    ,
87444,2020/8/5,15,泉州防災株式会社                                  ,2,連結送水管耐圧性能試験,式　,1,70000,70000,8月5日,
87414,2020/8/5,38,伸和電設株式会社                                  ,1,差動式ｽﾎﾟｯﾄ型感知器2種(ﾍﾞｰｽ共)2SC1-L,個　,1,1895,1895,8月5日,
87414,2020/8/5,38,伸和電設株式会社                                  ,2,※和歌山営業所納品分,　　,      ,         ,          ,                    ,
87434,2020/8/5,38,伸和電設株式会社                                  ,1,見積番号：321,　　,      ,         ,          ,                    ,
87434,2020/8/5,38,伸和電設株式会社                                  ,2,三菱電機㈱　矢田工場,　　,      ,         ,          ,8月5日,
87434,2020/8/5,38,伸和電設株式会社                                  ,3,動力消防ﾎﾟﾝﾌﾟ充電ﾊﾞｯﾃﾘｰ取替,式　,1,35000,35000,                    ,
87364,2020/8/5,131,小川電機株式会社　和歌山営業所                    ,1,(仮称)城東区中央区計画マンション新築工事,　　,      ,         ,          ,                    ,
87364,2020/8/5,131,小川電機株式会社　和歌山営業所                    ,2,自動火災報知設備工事,式　,1,640000,640000,                    ,
87367,2020/8/5,639,公立大学法人和歌山県立医科大学                    ,1,令和2年度病修第93号,　　,      ,         ,          ,                    ,
87367,2020/8/5,639,公立大学法人和歌山県立医科大学                    ,2,中央棟3階～4M階排煙ダンパー修繕,式　,1,454000,454000,                    ,
87368,2020/8/5,639,公立大学法人和歌山県立医科大学                    ,1,令和2年度病修第90号,　　,      ,         ,          ,                    ,
87368,2020/8/5,639,公立大学法人和歌山県立医科大学                    ,2,中央棟地下1階～2階排煙ダンパー修繕,式　,1,454000,454000,                    ,
87363,2020/8/5,652,小川電機株式会社　貝塚営業所                      ,1,ソーシャルインクルー様新築工事,　　,      ,         ,          ,                    ,
87363,2020/8/5,652,小川電機株式会社　貝塚営業所                      ,2,設備工事,式　,1,2248000,2248000,                    ,
87366,2020/8/5,652,小川電機株式会社　貝塚営業所                      ,1,三津屋北グループホーム新築工事,　　,      ,         ,          ,                    ,
87366,2020/8/5,652,小川電機株式会社　貝塚営業所                      ,2,設備工事,式　,1,1702500,1702500,                    ,
87474,2020/8/4,15,泉州防災株式会社                                  ,1,りんくうプレミアムアウトレット,　　,      ,         ,          ,                    ,
87474,2020/8/4,15,泉州防災株式会社                                  ,2,クレイジークレープ屋　移転に伴う工事,式　,1,62000,62000,8月4日,
87474,2020/8/4,15,泉州防災株式会社                                  ,3,〃　スプリンクラー撤去工事,式　,1,40000,40000,〃                  ,
87420,2020/8/4,48,有限会社レインボーシステムズ                      ,1,ﾀﾞｲﾔﾓﾝﾄﾞﾌﾟﾗｻﾞ　3F「ﾛｰｽﾞ」,　　,      ,         ,          ,                    ,
87420,2020/8/4,48,有限会社レインボーシステムズ                      ,2,44412,　　,      ,         ,          ,                    ,
87420,2020/8/4,48,有限会社レインボーシステムズ                      ,3,天井換気扇取替工事,　　,      ,         ,          ,                    ,
87420,2020/8/4,48,有限会社レインボーシステムズ                      ,4,天井扇,台　,1,35000,35000,                    ,
87420,2020/8/4,48,有限会社レインボーシステムズ                      ,5,配線　VA1.6－2ｃ,ｍ　,3,120,360,                    ,
87420,2020/8/4,48,有限会社レインボーシステムズ                      ,6,ﾌﾙｶﾗｰ4Aﾊﾟｲﾛｯﾄｽｲｯﾁ,個　,1,1000,1000,                    ,
87420,2020/8/4,48,有限会社レインボーシステムズ                      ,7,工事費,式　,1,20000,20000,                    ,
87420,2020/8/4,48,有限会社レインボーシステムズ                      ,8,諸経費,式　,1,2840,2840,                    ,
87426,2020/8/4,48,有限会社レインボーシステムズ                      ,1,ダイヤモンドプラザ　電球交換,　　,      ,         ,          ,                    ,
87426,2020/8/4,48,有限会社レインボーシステムズ                      ,2,44412,　　,      ,         ,          ,                    ,
87426,2020/8/4,48,有限会社レインボーシステムズ                      ,3,2階　階段室　ﾎﾞｰﾙ球,個　,1,350,350,                    ,
87426,2020/8/4,48,有限会社レインボーシステムズ                      ,4,3階　廊下　誘導灯球20W,個　,1,340,340,                    ,
87426,2020/8/4,48,有限会社レインボーシステムズ                      ,5,3階　階段室　ﾎﾞｰﾙ球,個　,1,350,350,                    ,
87426,2020/8/4,48,有限会社レインボーシステムズ                      ,6,6階　階段室　ﾎﾞｰﾙ球,個　,1,350,350,                    ,
87426,2020/8/4,48,有限会社レインボーシステムズ                      ,7,6階　階段室　ハロゲン球,個　,1,1600,1600,                    ,
87426,2020/8/4,48,有限会社レインボーシステムズ                      ,8,取替費,式　,1,5000,5000,                    ,
87410,2020/8/4,433,医療法人三光会　かがやきくらぶ                    ,1,かがやきくらぶ様,　　,      ,         ,          ,                    ,
87410,2020/8/4,433,医療法人三光会　かがやきくらぶ                    ,2,LED照明器具取替(材工共）,台　,1,9000,9000,8月4日,
87491,2020/8/4,751,岡野消防設備株式会社                              ,1,123塩屋店,　　,      ,         ,          ,                    ,
87491,2020/8/4,751,岡野消防設備株式会社                              ,2,男子トイレウォシュレット修理工事　2ヵ所,式　,1,34000,34000,7/28･8/4            ,
87473,2020/8/3,15,泉州防災株式会社                                  ,1,りんくうプレミアムアウトレット,　　,      ,         ,          ,                    ,
87473,2020/8/3,15,泉州防災株式会社                                  ,2,7310区画　誘導灯移設工事,式　,1,40000,40000,8月3日,
87496,2020/8/3,15,泉州防災株式会社                                  ,1,りんくうプレミアムアウトレット,　　,      ,         ,          ,                    ,
87496,2020/8/3,15,泉州防災株式会社                                  ,2,6325区画　誘導灯非常照明増設工事,式　,1,178000,178000,8/3～8/17           ,
87376,2020/8/3,45,株式会社アイワライフネット                        ,1,三葛ハイツ　101号室,　　,      ,         ,          ,8月3日,
87376,2020/8/3,45,株式会社アイワライフネット                        ,2,住警器(取付費込),台　,1,3000,3000,                    ,
87427,2020/8/3,582,やすらぎの郷　メゾンドシンフォニー                ,1,ｴｱｺﾝ洗浄,　　,      ,         ,          ,                    ,
87427,2020/8/3,582,やすらぎの郷　メゾンドシンフォニー                ,2,天ｶｾ洗浄,台　,1,20000,20000,                    ,
87427,2020/8/3,582,やすらぎの郷　メゾンドシンフォニー                ,3,ﾙｰﾑｴｱｺﾝ洗浄,台　,1,20000,20000,                    ,
87480,2020/8/3,705,株式会社　春台設備                                ,1,村上様邸　BSアンテナ取付工事,　　,      ,         ,          ,                    ,
87480,2020/8/3,705,株式会社　春台設備                                ,2,BSアンテナ,個　,1,8500,8500,8月3日,
87480,2020/8/3,705,株式会社　春台設備                                ,3,ドブ突き出しアングル,個　,1,4000,4000,                    ,
87480,2020/8/3,705,株式会社　春台設備                                ,4,付属品,式　,1,5000,5000,                    ,
87480,2020/8/3,705,株式会社　春台設備                                ,5,工事費,式　,1,15000,15000,                    ,
87480,2020/8/3,705,株式会社　春台設備                                ,6,諸経費,式　,1,2000,2000,                    ,
87460,2020/8/3,751,岡野消防設備株式会社                              ,1,123+Ｎ和歌山本店,　　,      ,         ,          ,                    ,
87460,2020/8/3,751,岡野消防設備株式会社                              ,2,男子トイレ前スプリンクラー水漏れ改修工事,式　,1,112000,112000,7/29・8/3           ,
87438,2020/7/31,38,伸和電設株式会社                                  ,1,見積番号：328,　　,      ,         ,          ,                    ,
87438,2020/7/31,38,伸和電設株式会社                                  ,2,三菱電機株式会社冷熱システム製作所,　　,      ,         ,          ,                    ,
87438,2020/7/31,38,伸和電設株式会社                                  ,3,第3工場　2階　3Dプリンター室　消火器,式　,1,60000,60000,7/20～7/31          ,
87361,2020/7/31,42,小笠原電気株式会社                                ,1,木下建設マンション,　　,      ,         ,          ,                    ,
87361,2020/7/31,42,小笠原電気株式会社                                ,2,差動式スポット型感知器取替工事,式　,1,287000,287000,7月4日,
87361,2020/7/31,42,小笠原電気株式会社                                ,3,※取替分37個、預かり分4個,　　,      ,         ,          ,                    ,
87425,2020/7/31,48,有限会社レインボーシステムズ                      ,1,エクロールプラザ　電球交換,　　,      ,         ,          ,                    ,
87425,2020/7/31,48,有限会社レインボーシステムズ                      ,2,44408,　　,      ,         ,          ,                    ,
87425,2020/7/31,48,有限会社レインボーシステムズ                      ,3,1階　EV前　ﾂｲﾝ球,個　,1,1500,1500,                    ,
87425,2020/7/31,48,有限会社レインボーシステムズ                      ,4,6階　階段室　FL20SS,本　,1,340,340,                    ,
87425,2020/7/31,48,有限会社レインボーシステムズ                      ,5,取替費,式　,1,2000,2000,                    ,
87370,2020/7/31,141,株式会社オーティーエル                            ,1,萩原マンション,　　,      ,         ,          ,                    ,
87370,2020/7/31,141,株式会社オーティーエル                            ,2,消防設備保守点検,式　,1,30000,30000,                    ,
87370,2020/7/31,141,株式会社オーティーエル                            ,3,書類作成費,式　,1,30000,30000,                    ,
87330,2020/7/31,207,ニッタン株式会社　和歌山営業所                    ,1,消防設備保守点検,　　,      ,         ,          ,                    ,
87330,2020/7/31,207,ニッタン株式会社　和歌山営業所                    ,2,各配水池消防用設備点検業務委託,式　,1,80000,80000,7月16日,
87330,2020/7/31,207,ニッタン株式会社　和歌山営業所                    ,3,且来八幡神社　消防設備保守点検,式　,1,15000,15000,7月27日,
87333,2020/7/31,207,ニッタン株式会社　和歌山営業所                    ,1,注番：KK-0539,　　,      ,         ,          ,                    ,
87333,2020/7/31,207,ニッタン株式会社　和歌山営業所                    ,2,工番：B-32-0019,　　,      ,         ,          ,                    ,
87333,2020/7/31,207,ニッタン株式会社　和歌山営業所                    ,3,日赤和歌山,　　,      ,         ,          ,                    ,
87333,2020/7/31,207,ニッタン株式会社　和歌山営業所                    ,4,流動試験管装置,個　,1,30000,30000,                    ,
87334,2020/7/31,207,ニッタン株式会社　和歌山営業所                    ,1,注番：KK-0540,　　,      ,         ,          ,                    ,
87334,2020/7/31,207,ニッタン株式会社　和歌山営業所                    ,2,工番：B-32-0022,　　,      ,         ,          ,                    ,
87334,2020/7/31,207,ニッタン株式会社　和歌山営業所                    ,3,日赤和歌山,　　,      ,         ,          ,                    ,
87334,2020/7/31,207,ニッタン株式会社　和歌山営業所                    ,4,シーリングプレート,個　,2,500,1000,                    ,
87334,2020/7/31,207,ニッタン株式会社　和歌山営業所                    ,5,ボールタップ　25A,個　,1,10000,10000,                    ,
87334,2020/7/31,207,ニッタン株式会社　和歌山営業所                    ,6,アラーム弁　標識板,枚　,1,2000,2000,                    ,
87334,2020/7/31,207,ニッタン株式会社　和歌山営業所                    ,7,末端試験弁　標識板,枚　,1,2000,2000,                    ,
87334,2020/7/31,207,ニッタン株式会社　和歌山営業所                    ,8,圧力調整器,台　,1,32000,32000,                    ,
87334,2020/7/31,207,ニッタン株式会社　和歌山営業所                    ,9,標識板　消火器使用方法,枚　,1,150,150,                    ,
87335,2020/7/31,207,ニッタン株式会社　和歌山営業所                    ,1,注番：KK-0541,　　,      ,         ,          ,                    ,
87335,2020/7/31,207,ニッタン株式会社　和歌山営業所                    ,2,工番：B-32-0023,　　,      ,         ,          ,                    ,
87335,2020/7/31,207,ニッタン株式会社　和歌山営業所                    ,3,日赤和歌山,　　,      ,         ,          ,                    ,
87335,2020/7/31,207,ニッタン株式会社　和歌山営業所                    ,4,移動式粉末消火設備格納箱,台　,3,60000,180000,                    ,
87337,2020/7/31,207,ニッタン株式会社　和歌山営業所                    ,1,日赤和歌山看護学校消防設備点検不具合改修,式　,1,30000,30000,                    ,
87337,2020/7/31,207,ニッタン株式会社　和歌山営業所                    ,2,日赤和歌山消火器(2008年製)交換作業,式　,1,35000,35000,                    ,
87337,2020/7/31,207,ニッタン株式会社　和歌山営業所                    ,3,日赤和歌山消防設備点検不具合改修,式　,1,50000,50000,                    ,
87337,2020/7/31,207,ニッタン株式会社　和歌山営業所                    ,4,日赤和歌山消防設備点検不具合改修,式　,1,60000,60000,                    ,
87337,2020/7/31,207,ニッタン株式会社　和歌山営業所                    ,5,京橋別館外3ヵ所防火ダンパー動作不良修繕,式　,1,60000,60000,                    ,
87358,2020/7/31,452,株式会社大谷住宅設備                              ,1,きのくに信用金庫御坊営業所新築工事,　　,      ,         ,          ,                    ,
87358,2020/7/31,452,株式会社大谷住宅設備                              ,2,届出作成費,式　,1,30000,30000,                    ,
87353,2020/7/31,616,メディカルメイト株式会社                          ,1,堺市泉北陣内病院,　　,      ,         ,          ,                    ,
87353,2020/7/31,616,メディカルメイト株式会社                          ,2,感知器撤去及び取付,式　,1,30000,30000,                    ,
